section,case,parameter,value
self,Self_Air_Coreless,label,空心线圈(15匝等效)
self,Self_Air_Coreless,R_ohm,10.0
self,Self_Air_Coreless,f_Hz,10000.0
self,Self_Air_Coreless,Us_rms_V,0.9950151198529361
self,Self_Air_Coreless,UR_rms_V,0.9932021821270096
self,Self_Air_Coreless,UL_rms_V,0.06320506312544166
self,Self_Air_Coreless,L_theory_H,1e-05
self,Self_Air_Coreless,L_measured_H,1.0128248211563974e-05
self,Self_Air_Coreless,error_percent,1.282482115639727
self,Self_Core_Toroid,label,磁环线圈(10匝等效)
self,Self_Core_Toroid,R_ohm,100.0
self,Self_Core_Toroid,f_Hz,10000.0
self,Self_Core_Toroid,Us_rms_V,0.9950151198529208
self,Self_Core_Toroid,UR_rms_V,0.9932021821266358
self,Self_Core_Toroid,UL_rms_V,0.06320506312541915
self,Self_Core_Toroid,L_theory_H,0.0001
self,Self_Core_Toroid,L_measured_H,0.00010128248211564177
self,Self_Core_Toroid,error_percent,1.2824821156417667
mutual,Mutual_Open_Forward,method,交流电压法
mutual,Mutual_Open_Forward,orientation,正向参考
mutual,Mutual_Open_Forward,U1_rms_V,0.9948461536235309
mutual,Mutual_Open_Forward,U2_rms_V,0.21370320729999284
mutual,Mutual_Open_Forward,M_magnitude_H,4e-05
mutual,Mutual_Open_Reversed,method,交流电压法
mutual,Mutual_Open_Reversed,orientation,反向参考
mutual,Mutual_Open_Reversed,U1_rms_V,0.9948461536235309
mutual,Mutual_Open_Reversed,U2_rms_V,0.21370320729999284
mutual,Mutual_Open_Reversed,M_magnitude_H,4e-05
mutual,Mutual_Series_Aiding,method,串联法
mutual,Mutual_Series_Aiding,orientation,正向串联
mutual,Mutual_Series_Aiding,Us_rms_V,0.9948463485963104
mutual,Mutual_Series_Aiding,U_after_R_rms_V,0.7895892486499767
mutual,Mutual_Series_Aiding,I_rms_A,0.06129197274596885
mutual,Mutual_Series_Aiding,L_eq_H,0.00020503016350232342
mutual,Mutual_Series_Opposing,method,串联法
mutual,Mutual_Series_Opposing,orientation,反向串联
mutual,Mutual_Series_Opposing,Us_rms_V,0.9948517145775484
mutual,Mutual_Series_Opposing,U_after_R_rms_V,0.2740061552897715
mutual,Mutual_Series_Opposing,I_rms_A,0.09579835321654069
mutual,Mutual_Series_Opposing,L_eq_H,4.552211242441582e-05
power,MaxPower_01,Rload_ohm,10
power,MaxPower_01,UL_rms_V,0.13827703772449093
power,MaxPower_01,IL_rms_A,0.013827703772449093
power,MaxPower_01,PL_W,0.0019120539161860289
power,MaxPower_02,Rload_ohm,25
power,MaxPower_02,UL_rms_V,0.2377567300095726
power,MaxPower_02,IL_rms_A,0.009510269200382903
power,MaxPower_02,PL_W,0.0022611305065937917
power,MaxPower_03,Rload_ohm,50
power,MaxPower_03,UL_rms_V,0.3090690504931811
power,MaxPower_03,IL_rms_A,0.006181381009863623
power,MaxPower_03,PL_W,0.0019104735594551309
power,MaxPower_04,Rload_ohm,100
power,MaxPower_04,UL_rms_V,0.3614145696069344
power,MaxPower_04,IL_rms_A,0.003614145696069344
power,MaxPower_04,PL_W,0.0013062049112416562
power,MaxPower_05,Rload_ohm,200
power,MaxPower_05,UL_rms_V,0.3939648645344462
power,MaxPower_05,IL_rms_A,0.0019698243226722307
power,MaxPower_05,PL_W,0.0007760415724382226
power,MaxPower_06,Rload_ohm,400
power,MaxPower_06,UL_rms_V,0.41202468986261004
power,MaxPower_06,IL_rms_A,0.0010300617246565252
power,MaxPower_06,PL_W,0.00042441086264095
power,MaxPower_07,Rload_ohm,800
power,MaxPower_07,UL_rms_V,0.42169636635509106
power,MaxPower_07,IL_rms_A,0.0005271204579438638
power,MaxPower_07,PL_W,0.00022228478174635895
power,MaxPower_08,Rload_ohm,1200
power,MaxPower_08,UL_rms_V,0.4249956491962776
power,MaxPower_08,IL_rms_A,0.000354163040996898
power,MaxPower_08,PL_W,0.00015051775152980453
power,MaxPower_09,Rload_ohm,1600
power,MaxPower_09,UL_rms_V,0.4266653109099898
power,MaxPower_09,IL_rms_A,0.0002666658193187436
power,MaxPower_09,PL_W,0.00011377705470869893
power,MaxPower_10,Rload_ohm,2000
power,MaxPower_10,UL_rms_V,0.427674633796151
power,MaxPower_10,IL_rms_A,0.0002138373168980755
power,MaxPower_10,PL_W,9.145279619633593e-05
self_open,Self_L1_Open,method,开路自感
self_open,Self_L1_Open,frequency_Hz,300
self_open,Self_L1_Open,L_model_H,0.1
self_open,Self_L1_Open,secondary,L2 open
self_open,Self_L2_Open,method,开路自感
self_open,Self_L2_Open,frequency_Hz,300
self_open,Self_L2_Open,L_model_H,0.025
self_open,Self_L2_Open,secondary,L1 open
